,Sample_title,2008-1-S,2008-1-U,2025-1-S,2025-1-U,2025-2-S,2025-2-U,2070-1-S,2070-1-U,2250-1-S,2250-1-U,2262-1-S,2262-1-U,2286-1-S,2286-1-U,2329-1-S,2329-1-U,2349-1-S,2349-1-U,2414-1-S,2414-1-U,2414-2-S,2414-2-U,2448-1-S,2448-1-U,2476-1-S,2476-1-U,2549-1-S,2549-1-U,2561-1-S,2561-1-U,2597-1-S,2597-1-U,2601-1-S,2601-1-U,2628-1-S,2628-1-U,2683-1-S,2683-1-U,2748-1-S,2748-1-U,2748-2-S,2748-2-U,2789-1-S,2789-1-U,2832-1-S,2832-1-U,2859-1-S,2859-1-U,2859-2-S,2859-2-U,2874-1-S,2874-1-U,2874-2-S,2874-2-U,2898-1-S,2898-1-U,2898-2-S,2898-2-U,2963-1-S,2963-1-U,2994-1-S,2994-1-U,2994-2-S,2994-2-U,3053-1-S,3053-1-U,3053-2-S,3053-2-U,3171-1-S,3171-1-U,3171-2-S,3171-2-U,3316-1-S,3316-1-U,3316-2-S,3316-2-U,3325-1-S,3325-1-U,3325-2-S,3325-2-U,3364-1-S,3364-1-U,3364-2-S,3364-2-U,3537-1-S,3537-1-U,3537-2-S,3578-1-S,3578-1-U,3578-2-S,3578-2-U,3808-1-S,3808-1-U,3808-2-S,3808-2-U,3817-1-S,3817-1-U,3817-2-S,3817-2-U,3823-1-S,3823-1-U,3823-2-S,3823-2-U,3924-1-S,3924-1-U,3924-2-S,4086-1-S,4086-2-S,4086-2-U,4260-1-S,4260-1-U,4260-2-S,4260-2-U,4523-1-S,4523-1-U,4523-2-S,4523-2-U,4792-1-S,4792-1-U,4792-2-S,4792-2-U,4834-1-S,4834-1-U,4834-2-S,4834-2-U,4938-1-S,4938-1-U,4938-2-S,4938-2-U,5037-1-S,5037-1-U,5037-2-S,5037-2-U,5045-1-S,5045-1-U,5045-2-S,5045-2-U
0,Sample_geo_accession,GSM3131881,GSM3131882,GSM3131883,GSM3131884,GSM3131885,GSM3131886,GSM3131887,GSM3131888,GSM3131889,GSM3131890,GSM3131891,GSM3131892,GSM3131893,GSM3131894,GSM3131895,GSM3131896,GSM3131897,GSM3131898,GSM3131899,GSM3131900,GSM3131901,GSM3131902,GSM3131903,GSM3131904,GSM3131905,GSM3131906,GSM3131907,GSM3131908,GSM3131909,GSM3131910,GSM3131911,GSM3131912,GSM3131913,GSM3131914,GSM3131915,GSM3131916,GSM3131917,GSM3131918,GSM3131919,GSM3131920,GSM3131921,GSM3131922,GSM3131923,GSM3131924,GSM3131925,GSM3131926,GSM3131927,GSM3131928,GSM3131929,GSM3131930,GSM3131931,GSM3131932,GSM3131933,GSM3131934,GSM3131935,GSM3131936,GSM3131937,GSM3131938,GSM3131939,GSM3131940,GSM3131941,GSM3131942,GSM3131943,GSM3131944,GSM3131945,GSM3131946,GSM3131947,GSM3131948,GSM3131949,GSM3131950,GSM3131951,GSM3131952,GSM3131953,GSM3131954,GSM3131955,GSM3131956,GSM3131957,GSM3131958,GSM3131959,GSM3131960,GSM3131961,GSM3131962,GSM3131963,GSM3131964,GSM3131965,GSM3131966,GSM3131967,GSM3131968,GSM3131969,GSM3131970,GSM3131971,GSM3131972,GSM3131973,GSM3131974,GSM3131975,GSM3131976,GSM3131977,GSM3131978,GSM3131979,GSM3131980,GSM3131981,GSM3131982,GSM3131983,GSM3131984,GSM3131985,GSM3131986,GSM3131987,GSM3131988,GSM3131989,GSM3131990,GSM3131991,GSM3131992,GSM3131993,GSM3131994,GSM3131995,GSM3131996,GSM3131997,GSM3131998,GSM3131999,GSM3132000,GSM3132001,GSM3132002,GSM3132003,GSM3132004,GSM3132005,GSM3132006,GSM3132007,GSM3132008,GSM3132009,GSM3132010,GSM3132011,GSM3132012,GSM3132013,GSM3132014,GSM3132015,GSM3132016,GSM3132017
1,Sample_status,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018,Public on May 31 2018
2,Sample_submission_date,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018,May 04 2018
3,Sample_last_update_date,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018,Jun 01 2018
4,Sample_type,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA
5,Sample_channel_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,Sample_source_name_ch1,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-,CD3+CD4+CD25-CCR7+CD127-
7,Sample_organism_ch1,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens
8,Sample_characteristics_ch1_indiidual,2008,2008,2025,2025,2025,2025,2070,2070,2250,2250,2262,2262,2286,2286,2329,2329,2349,2349,2414,2414,2414,2414,2448,2448,2476,2476,2549,2549,2561,2561,2597,2597,2601,2601,2628,2628,2683,2683,2748,2748,2748,2748,2789,2789,2832,2832,2859,2859,2859,2859,2874,2874,2874,2874,2898,2898,2898,2898,2963,2963,2994,2994,2994,2994,3053,3053,3053,3053,3171,3171,3171,3171,3316,3316,3316,3316,3325,3325,3325,3325,3364,3364,3364,3364,3537,3537,3537,3578,3578,3578,3578,3808,3808,3808,3808,3817,3817,3817,3817,3823,3823,3823,3823,3924,3924,3924,4086,4086,4086,4260,4260,4260,4260,4523,4523,4523,4523,4792,4792,4792,4792,4834,4834,4834,4834,4938,4938,4938,4938,5037,5037,5037,5037,5045,5045,5045,5045
9,Sample_characteristics_ch1_age_yrs,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,4,4,1,1,2,2,1,1,4,4,1,1,1,1,4,4,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,4,4,1,1,4,4,1,1,2,2,1,1,4,1,2,2,1,1,2,2,1,1,4,4,1,1,2,2,1,1,4,4,1,1,2,2,1,1,2,2,1,1,4,4
