Gene,Importance
ENSG00000182093,0.006133598
ENSG00000111639,0.005992722
ENSG00000112246,0.005854763
ENSG00000133962,0.004990097
ENSG00000206535,0.00469526
ENSG00000248712,0.00458437
ENSG00000137726,0.004581253
ENSG00000133216,0.004191129
ENSG00000134480,0.003877695
ENSG00000048342,0.003789876
ENSG00000176974,0.003764158
ENSG00000185924,0.003752484
ENSG00000168685,0.003665443
ENSG00000269845,0.003629279
ENSG00000008056,0.003626144
ENSG00000141837,0.003485698
ENSG00000187164,0.00342876
ENSG00000152990,0.003324842
ENSG00000143257,0.003320279
ENSG00000158109,0.003319186
ENSG00000196950,0.003283706
ENSG00000079257,0.003194808
ENSG00000244588,0.003061108
ENSG00000196616,0.0030223
ENSG00000166582,0.003000247
ENSG00000160221,0.002988673
ENSG00000179163,0.002950624
ENSG00000183486,0.002936269
ENSG00000174469,0.002918359
ENSG00000108984,0.002900834
ENSG00000168653,0.002893339
ENSG00000136011,0.002874988
ENSG00000164199,0.002830007
ENSG00000133488,0.002816337
ENSG00000155189,0.002801721
ENSG00000186417,0.002801146
ENSG00000147614,0.002773419
ENSG00000156384,0.002749222
ENSG00000198785,0.00270058
ENSG00000133393,0.002695558
ENSG00000189045,0.002694672
ENSG00000198650,0.00268172
ENSG00000172159,0.002666321
ENSG00000109775,0.002623044
ENSG00000117984,0.002620631
ENSG00000128815,0.002620439
ENSG00000206450,0.002597295
ENSG00000187231,0.002587326
ENSG00000179477,0.002579076
ENSG00000148950,0.002564319
ENSG00000118004,0.002558214
ENSG00000144452,0.002557596
ENSG00000145087,0.002556301
ENSG00000167566,0.002523942
ENSG00000171097,0.002512646
ENSG00000130270,0.002502938
ENSG00000171960,0.002479791
ENSG00000181444,0.002473384
ENSG00000149633,0.002467389
ENSG00000175040,0.002442324
ENSG00000064225,0.002438476
ENSG00000026652,0.002404407
ENSG00000164744,0.00239827
ENSG00000163536,0.002375183
ENSG00000074803,0.002362889
ENSG00000164794,0.002333672
ENSG00000125462,0.002329453
ENSG00000243279,0.002327951
ENSG00000179104,0.002323334
ENSG00000109686,0.002313623
ENSG00000145888,0.002289992
ENSG00000221866,0.002289024
ENSG00000188883,0.002287137
ENSG00000057704,0.002285035
ENSG00000020922,0.002275201
ENSG00000130203,0.002264849
ENSG00000163659,0.00226314
ENSG00000106366,0.002255715
ENSG00000021300,0.002244633
ENSG00000102048,0.002229468
ENSG00000116147,0.002225127
ENSG00000184911,0.002224591
ENSG00000176014,0.002211676
ENSG00000105205,0.002196555
ENSG00000156504,0.002175681
ENSG00000224608,0.002175099
ENSG00000166750,0.00216567
ENSG00000151834,0.002149397
ENSG00000235176,0.002143421
ENSG00000183307,0.002120354
ENSG00000062370,0.002114014
ENSG00000197249,0.002108823
ENSG00000160145,0.002106203
ENSG00000136379,0.002096612
ENSG00000188282,0.002095371
ENSG00000151458,0.00208195
ENSG00000173890,0.002070422
ENSG00000105767,0.002058727
ENSG00000039123,0.002054287
ENSG00000144451,0.002054049
ENSG00000113318,0.002030371
ENSG00000131482,0.002028388
ENSG00000130035,0.002020509
ENSG00000137880,0.00200448
ENSG00000112992,0.00200138
ENSG00000196636,0.001986607
ENSG00000110665,0.0019846
ENSG00000185269,0.001980941
ENSG00000134245,0.001978529
ENSG00000174807,0.001976271
ENSG00000188229,0.001972868
ENSG00000121957,0.001972738
ENSG00000140465,0.001951149
ENSG00000147255,0.001948268
ENSG00000122121,0.001943753
ENSG00000065518,0.001943685
ENSG00000232126,0.001942271
ENSG00000156219,0.001938481
ENSG00000075336,0.00193157
ENSG00000124721,0.001922996
ENSG00000148408,0.001922576
ENSG00000180098,0.001911515
ENSG00000142583,0.001905355
ENSG00000064763,0.001903009
ENSG00000072182,0.001901713
ENSG00000164181,0.001901102
ENSG00000183690,0.001893979
ENSG00000133985,0.001886725
ENSG00000115956,0.001884443
ENSG00000124491,0.001884435
ENSG00000107020,0.00188217
ENSG00000184156,0.001882156
ENSG00000103707,0.001872568
ENSG00000144868,0.001869071
ENSG00000206493,0.001864144
ENSG00000043039,0.001853245
ENSG00000149451,0.001852193
ENSG00000119938,0.001838854
ENSG00000120963,0.001826054
ENSG00000120868,0.001812873
ENSG00000162843,0.001806765
ENSG00000101040,0.001805757
ENSG00000132464,0.001801355
ENSG00000265763,0.001799296
ENSG00000205592,0.001792393
ENSG00000138769,0.001767801
ENSG00000203780,0.0017613
ENSG00000135047,0.001737238
ENSG00000197261,0.001736591
ENSG00000183747,0.001736093
ENSG00000113328,0.001735475
ENSG00000163110,0.001735269
ENSG00000147231,0.00173295
ENSG00000187630,0.001724405
ENSG00000069248,0.001698492
ENSG00000184507,0.001688805
ENSG00000162694,0.001680041
ENSG00000127362,0.001677552
ENSG00000138944,0.001656175
ENSG00000229252,0.001654028
ENSG00000112651,0.001645819
ENSG00000162688,0.001636615
ENSG00000198670,0.001633049
ENSG00000163357,0.001625176
ENSG00000116661,0.001619343
ENSG00000172572,0.001616289
ENSG00000105088,0.001615606
ENSG00000172123,0.001614972
ENSG00000151500,0.001614133
ENSG00000163810,0.001603767
ENSG00000102468,0.001599878
ENSG00000175711,0.001577714
ENSG00000159199,0.001572665
ENSG00000136937,0.001568072
ENSG00000137642,0.001565831
ENSG00000129993,0.001560869
ENSG00000133983,0.001553414
ENSG00000176731,0.001552442
ENSG00000198088,0.001530504
ENSG00000171729,0.001523111
ENSG00000105185,0.001521558
ENSG00000205307,0.001503962
ENSG00000241386,0.001503847
ENSG00000182580,0.001500764
ENSG00000170382,0.001495365
ENSG00000070759,0.001489614
ENSG00000166592,0.001483956
ENSG00000168243,0.0014832
ENSG00000175497,0.001480057
ENSG00000168268,0.00147607
ENSG00000230254,0.001474385
ENSG00000140395,0.001469073
ENSG00000175575,0.001468447
ENSG00000261649,0.00146564
ENSG00000182993,0.001461172
ENSG00000108641,0.001457557
ENSG00000171617,0.00145742
ENSG00000110693,0.001456415
ENSG00000233904,0.001454235
ENSG00000099785,0.001442962
ENSG00000127318,0.001441795
ENSG00000255974,0.001430399
ENSG00000116690,0.001425955
ENSG00000170537,0.001425185
ENSG00000149403,0.001419445
ENSG00000154518,0.001415633
ENSG00000141376,0.001413044
ENSG00000139626,0.001396851
ENSG00000124615,0.001394667
ENSG00000053371,0.001392372
ENSG00000143344,0.001385315
ENSG00000153531,0.001384201
ENSG00000136542,0.001383834
ENSG00000189050,0.0013829
ENSG00000197183,0.001381151
ENSG00000107819,0.001376378
ENSG00000198523,0.001373719
ENSG00000178217,0.001362987
ENSG00000187391,0.001362423
ENSG00000127472,0.001361897
ENSG00000141401,0.001360453
ENSG00000157500,0.001357839
ENSG00000130731,0.001356082
ENSG00000198553,0.001346181
ENSG00000139354,0.001338136
ENSG00000225614,0.001337119
ENSG00000128250,0.00133088
ENSG00000091428,0.001328609
ENSG00000185013,0.001326094
ENSG00000147642,0.001325898
ENSG00000180777,0.001315434
ENSG00000155886,0.001314526
ENSG00000197696,0.001309427
ENSG00000107104,0.001308939
ENSG00000182162,0.001307796
ENSG00000196262,0.001305167
ENSG00000125743,0.001304277
ENSG00000166171,0.001299148
ENSG00000114480,0.0012981
ENSG00000181626,0.001294365
ENSG00000104953,0.001284406
ENSG00000154146,0.001279461
ENSG00000119899,0.001273528
ENSG00000110876,0.001267508
ENSG00000152503,0.001266639
ENSG00000185973,0.001266599
ENSG00000141560,0.001263108
ENSG00000164330,0.001259845
ENSG00000214226,0.001257402
ENSG00000071282,0.001247166
ENSG00000013583,0.001239059
ENSG00000187398,0.001229733
ENSG00000157570,0.001229439
ENSG00000181143,0.001228251
ENSG00000010292,0.001220369
ENSG00000165246,0.001216132
ENSG00000240583,0.00121326
ENSG00000129450,0.001209175
ENSG00000169758,0.001207617
ENSG00000132975,0.001205581
ENSG00000154114,0.001199817
ENSG00000262145,0.001198188
ENSG00000126759,0.001194059
ENSG00000221821,0.001190185
ENSG00000061656,0.001186486
ENSG00000225691,0.001184168
ENSG00000183423,0.001182393
ENSG00000133027,0.001181369
ENSG00000115112,0.001180512
ENSG00000145198,0.001180261
ENSG00000214193,0.001171227
ENSG00000072657,0.001171072
ENSG00000121933,0.001166031
ENSG00000122971,0.001160749
ENSG00000081059,0.001155203
ENSG00000233795,0.001154936
ENSG00000157315,0.001154436
ENSG00000105141,0.001153823
ENSG00000228964,0.001153235
