Supplementary Data 3 -Differentially expressed genes in food allergy,,,,,,,,,,,,,,
transcript ID,entrez ID,symbol,chromosome,start,end,biotype,description,log FoldChange (case-control),Average Expression,t statistic,P.Value,adjusted.P.Value,B score,direction
ENSG00000215700,55629,PNRC2,GL000191.1,29663,33264,protein_coding,,-5.577948072,3.504871768,-3.695853075,0.000427125,0.013726211,-0.110392774,down
ENSG00000173137,203054,ADCK5,8,145596790,145618457,protein_coding,aarF domain containing kinase 5 [Source:HGNC Symbol;Acc:21738],-2.522632756,0.781797504,-3.205374139,0.00201512,0.034566584,-1.442951075,down
ENSG00000257313,NA,CR753846.2,HSCHR6_MHC_DBB,32593633,32594538,protein_coding,,-1.926203716,-2.102877386,-3.085939168,0.00283511,0.042053766,-2.364610795,down
ENSG00000233609,NA,RP11-62H7.2,8,8818710,8836535,pseudogene,,-1.628571966,-2.932105397,-3.471964847,0.000855523,0.021270129,-1.802910735,down
ENSG00000183625,1232,CCR3,3,46205096,46308197,protein_coding,chemokine (C-C motif) receptor 3 [Source:HGNC Symbol;Acc:1604],-1.622739862,-2.832510429,-3.498991537,0.000784252,0.020433882,-1.805291143,down
ENSG00000172640,121275,OR10AD1,12,48596081,48597170,protein_coding,"olfactory receptor, family 10, subfamily AD, member 1 [Source:HGNC Symbol;Acc:14819]",-1.560608772,-2.047798248,-4.68655656,1.20E-05,0.001391997,0.535452224,down
ENSG00000268043,NA,AC244394.1,HG1287_PATCH,147646386,147682613,protein_coding,Neuroblastoma breakpoint family member 11  [Source:UniProtKB/TrEMBL;Acc:H7BYX2],-1.543997482,2.679650428,-3.64644312,0.000498476,0.015259496,-0.20608658,down
ENSG00000121075,9496,TBX4,17,59529765,59562471,protein_coding,T-box 4 [Source:HGNC Symbol;Acc:11603],-1.50343588,-2.239637108,-3.816510548,0.000273995,0.010373691,-1.154761758,down
ENSG00000158125,7498,XDH,2,31557187,31637581,protein_coding,xanthine dehydrogenase [Source:HGNC Symbol;Acc:12805],-1.496536323,-0.965068522,-4.698220778,1.14E-05,0.001340103,1.697302949,down
ENSG00000111249,23316,CUX2,12,111471828,111788358,protein_coding,cut-like homeobox 2 [Source:HGNC Symbol;Acc:19347],-1.462433341,-1.051528467,-3.80107317,0.000288723,0.010742553,-0.54591923,down
ENSG00000167780,8435,SOAT2,12,53497302,53518322,protein_coding,sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:11178],-1.424803366,-2.442976241,-3.313783694,0.001411632,0.028571906,-1.88881674,down
ENSG00000123838,722,C4BPA,1,207277607,207318317,protein_coding,"complement component 4 binding protein, alpha [Source:HGNC Symbol;Acc:1325]",-1.370513083,-2.724123279,-3.298710967,0.001479513,0.029194065,-2.242871207,down
ENSG00000074803,6557,SLC12A1,15,48483861,48596275,protein_coding,"solute carrier family 12 (sodium/potassium/chloride transporter), member 1 [Source:HGNC Symbol;Acc:10910]",-1.370299501,-2.30089129,-3.692666866,0.000415577,0.013516283,-1.356422434,down
ENSG00000229659,NA,RP11-345K20.2,10,75182017,75182454,pseudogene,,-1.358136826,-2.471235919,-3.026523613,0.003375448,0.046826148,-2.600695218,down
ENSG00000101333,5332,PLCB4,20,9049410,9461889,protein_coding,"phospholipase C, beta 4 [Source:HGNC Symbol;Acc:9059]",-1.34577318,-2.257668584,-3.088771471,0.002806282,0.041881098,-2.345247649,down
ENSG00000235833,NA,AC159540.14,2,98140412,98141439,pseudogene,,-1.337306549,-1.834830034,-3.560429331,0.000642579,0.018011296,-1.43565846,down
ENSG00000162599,4774,NFIA,1,61330931,61928465,protein_coding,nuclear factor I/A [Source:HGNC Symbol;Acc:7784],-1.286096724,0.980688986,-5.121909751,2.22E-06,0.000493057,3.84865971,down
ENSG00000155754,151254,ALS2CR11,2,202352148,202483901,protein_coding,"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 11 [Source:HGNC Symbol;Acc:14438]",-1.269371184,-1.587474785,-3.965154474,0.000164482,0.007795939,-0.526191966,down
ENSG00000198756,23127,COLGALT2,1,183898796,184006863,protein_coding,collagen beta(1-O)galactosyltransferase 2 [Source:HGNC Symbol;Acc:16790],-1.198428376,-1.076704179,-3.842198795,0.000251066,0.00990536,-0.282953812,down
ENSG00000215867,NA,KRT18P57,1,112190913,112192166,pseudogene,keratin 18 pseudogene 57 [Source:HGNC Symbol;Acc:48884],-1.189430917,-2.182862764,-3.450894402,0.000915292,0.021815985,-1.818864212,down
ENSG00000218358,646024,RAET1K,6,150319155,150326293,pseudogene,retinoic acid early transcript 1K pseudogene [Source:HGNC Symbol;Acc:16797],-1.163904933,-1.781587963,-3.086203711,0.002827875,0.042037058,-2.205253546,down
ENSG00000115361,33,ACADL,2,211052663,211090215,protein_coding,"acyl-CoA dehydrogenase, long chain [Source:HGNC Symbol;Acc:88]",-1.083709061,-1.558619363,-3.574811795,0.000613112,0.01744455,-1.273623041,down
ENSG00000166569,339302,CPLX4,18,56942388,56985881,protein_coding,complexin 4 [Source:HGNC Symbol;Acc:24330],-1.060040257,-1.966465657,-3.183216252,0.002110974,0.035396819,-2.183655247,down
ENSG00000185304,729857,RGPD2,2,88055474,88285309,protein_coding,RANBP2-like and GRIP domain containing 2 [Source:HGNC Symbol;Acc:32415],-1.054023783,2.252613273,-3.76839513,0.000327247,0.01164752,0.15722304,down
ENSG00000176293,7694,ZNF135,19,58570607,58597677,protein_coding,zinc finger protein 135 [Source:HGNC Symbol;Acc:12919],-1.036165243,1.49578442,-4.44078408,2.99E-05,0.00259162,2.055380183,down
ENSG00000216809,NA,RP11-57K17.1,6,118773632,118776155,pseudogene,,-1.02499589,-1.294085921,-3.234364307,0.001805282,0.03252056,-1.947575764,down
ENSG00000151079,3742,KCNA6,12,4918342,4960277,protein_coding,"potassium voltage-gated channel, shaker-related subfamily, member 6 [Source:HGNC Symbol;Acc:6225]",-1.02489224,-1.311102597,-2.993319787,0.003721213,0.049789693,-2.107334619,down
ENSG00000134588,83844,USP26,X,132158659,132231137,protein_coding,ubiquitin specific peptidase 26 [Source:HGNC Symbol;Acc:13485],-1.024383209,-2.138502978,-3.004412709,0.003602203,0.048781018,-2.526972294,down
ENSG00000198464,147657,ZNF480,19,52800430,52829175,protein_coding,zinc finger protein 480 [Source:HGNC Symbol;Acc:23305],-0.989157389,4.385925398,-8.682089443,5.41E-13,1.02E-08,18.9671407,down
ENSG00000198326,100288797,TMEM239,20,2795614,2800930,protein_coding,transmembrane protein 239 [Source:HGNC Symbol;Acc:40044],-0.954063828,-2.075192661,-3.069391824,0.002973112,0.043154352,-2.378837646,down
ENSG00000205822,NA,TPTE2P6,13,24982295,25171814,pseudogene,transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 6 [Source:HGNC Symbol;Acc:42644],-0.941634919,-1.20619202,-3.42289024,0.001000852,0.022852857,-1.401096879,down
ENSG00000235931,NA,C10orf40,10,61715188,61720671,protein_coding,chromosome 10 open reading frame 40 [Source:HGNC Symbol;Acc:23524],-0.939325098,-1.503268409,-3.098949606,0.002722196,0.041345812,-2.157563461,down
ENSG00000161640,114132,SIGLEC11,19,50452242,50464429,protein_coding,sialic acid binding Ig-like lectin 11 [Source:HGNC Symbol;Acc:15622],-0.933327761,-1.143068146,-3.966633176,0.00016364,0.007775572,-0.273854519,down
ENSG00000183775,57528,KCTD16,5,143550396,143865249,protein_coding,potassium channel tetramerization domain containing 16 [Source:HGNC Symbol;Acc:29244],-0.928077406,-1.044004713,-3.317087329,0.00139715,0.028399702,-1.514063852,down
ENSG00000182836,345557,PLCXD3,5,41307056,41510730,protein_coding,"phosphatidylinositol-specific phospholipase C, X domain containing 3 [Source:HGNC Symbol;Acc:31822]",-0.925067496,-0.982711486,-3.068521555,0.002980816,0.043154352,-2.089725641,down
ENSG00000179023,127707,KLHDC7A,1,18807424,18812478,protein_coding,kelch domain containing 7A [Source:HGNC Symbol;Acc:26791],-0.922328704,-1.63470569,-3.295449872,0.001494597,0.029430151,-1.791508202,down
ENSG00000175604,NA,RP11-276H1.3,16,12180603,12184159,protein_coding,,-0.903592851,-0.949598966,-3.207061988,0.001962881,0.034064205,-1.817191182,down
ENSG00000144908,10840,ALDH1L1,3,125822412,125916837,protein_coding,"aldehyde dehydrogenase 1 family, member L1 [Source:HGNC Symbol;Acc:3978]",-0.888485036,-0.581906817,-3.437506933,0.000955294,0.022302797,-1.203777198,down
ENSG00000165757,57608,KIAA1462,10,30301729,30404423,protein_coding,KIAA1462 [Source:HGNC Symbol;Acc:29283],-0.864922668,-0.342365103,-4.4724791,2.66E-05,0.002396479,1.521137603,down
ENSG00000248874,NA,C5orf17,5,23951457,24178372,protein_coding,chromosome 5 open reading frame 17 [Source:HGNC Symbol;Acc:26630],-0.859482814,0.476745799,-3.986892404,0.000152513,0.007472759,0.465633877,down
ENSG00000036565,6570,SLC18A1,8,20002366,20040717,protein_coding,"solute carrier family 18 (vesicular monoamine transporter), member 1 [Source:HGNC Symbol;Acc:10934]",-0.858340457,-1.252611453,-3.122641769,0.00253547,0.0395854,-2.040007217,down
ENSG00000143110,128346,C1orf162,1,112016414,112021134,protein_coding,chromosome 1 open reading frame 162 [Source:HGNC Symbol;Acc:28344],-0.855782788,3.98479433,-5.668358298,2.47E-07,0.000140948,6.659284654,down
ENSG00000198099,127,ADH4,4,100044808,100078949,protein_coding,"alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:252]",-0.851338528,0.077255705,-4.261483148,5.76E-05,0.004039757,1.015679169,down
ENSG00000268759,101060588,AC135983.2,15,32774822,32780287,protein_coding,Protein LOC100996413  [Source:UniProtKB/TrEMBL;Acc:M0R198],-0.851162067,-0.628791104,-3.272217855,0.001606315,0.030463859,-1.604409077,down
ENSG00000132623,63926,ANKEF1,20,9966774,10037410,protein_coding,ankyrin repeat and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:15803],-0.847618414,2.956091123,-6.001259158,6.22E-08,5.65E-05,7.854996571,down
ENSG00000082196,114899,C1QTNF3,5,34019553,34043937,protein_coding,C1q and tumor necrosis factor related protein 3 [Source:HGNC Symbol;Acc:14326],-0.844556369,0.683943271,-4.065561566,0.000115808,0.00625962,0.673118049,down
ENSG00000180083,259239,WFDC11,20,44277202,44298909,protein_coding,WAP four-disulfide core domain 11 [Source:HGNC Symbol;Acc:20478],-0.838831552,-1.291843159,-3.074056434,0.002932134,0.043010714,-2.176346036,down
ENSG00000269001,390963,ZNF818P,19,53716241,53716649,pseudogene,"zinc finger protein 818, pseudogene [Source:HGNC Symbol;Acc:33265]",-0.823354463,0.700823232,-3.188103717,0.002079795,0.035057984,-1.52796287,down
ENSG00000174038,138724,C9orf131,9,35041092,35045988,protein_coding,chromosome 9 open reading frame 131 [Source:HGNC Symbol;Acc:31418],-0.815788917,-0.453651474,-3.101916921,0.002698127,0.041244658,-1.923121396,down
ENSG00000267041,342892,ZNF850,19,37205285,37263727,protein_coding,zinc finger protein 850 [Source:HGNC Symbol;Acc:27994],-0.799582135,3.846252426,-7.132105826,4.94E-10,2.97E-06,12.53343311,down
ENSG00000187193,4501,MT1X,16,56716336,56718108,protein_coding,metallothionein 1X [Source:HGNC Symbol;Acc:7405],-0.796919626,2.568928275,-3.457067159,0.000904011,0.021668699,-0.736062565,down
ENSG00000267260,NA,CTD-2162K18.4,19,37264055,37267980,protein_coding,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:K7ESP3],-0.79659639,0.972463311,-3.669328875,0.000449109,0.014214759,-0.213598545,down
ENSG00000188227,390927,ZNF793,19,37997841,38039664,protein_coding,zinc finger protein 793 [Source:HGNC Symbol;Acc:33115],-0.791255189,3.1160592,-5.380991821,7.92E-07,0.000240966,5.583876187,down
ENSG00000267508,646915,ZNF285,19,44886459,44905774,protein_coding,zinc finger protein 285 [Source:HGNC Symbol;Acc:13079],-0.787229219,2.284060077,-5.281819806,1.18E-06,0.000317527,5.063632248,down
ENSG00000154783,152273,FGD5,3,14860469,14975895,protein_coding,"FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:19117]",-0.786670808,-0.5348161,-3.896791182,0.000208278,0.008868955,-0.092203414,down
ENSG00000205625,NA,RP11-15G8.1,6,155027777,155028929,pseudogene,,-0.764872461,-0.283653653,-4.210955194,6.91E-05,0.004517583,0.759669877,down
ENSG00000179583,4261,CIITA,16,10971055,11026079,protein_coding,"class II, major histocompatibility complex, transactivator [Source:HGNC Symbol;Acc:7067]",-0.753052198,1.533760708,-5.430128996,6.50E-07,0.000215041,5.350423884,down
ENSG00000183166,83698,CALN1,7,71244476,71912136,protein_coding,calneuron 1 [Source:HGNC Symbol;Acc:13248],-0.749297538,-0.834815277,-3.017261561,0.003468771,0.047475391,-2.072720478,down
ENSG00000197134,113835,ZNF257,19,22235254,22274282,protein_coding,zinc finger protein 257 [Source:HGNC Symbol;Acc:13498],-0.744100539,2.846934517,-3.589965596,0.000587197,0.016859793,-0.371436164,down
ENSG00000273422,642280,ZNF876P,HG174_HG254_PATCH,212610,255985,pseudogene,"zinc finger protein 876, pseudogene [Source:HGNC Symbol;Acc:32472]",-0.737252335,-1.170344415,-4.236264008,6.31E-05,0.004289135,0.436833908,down
ENSG00000198155,642280,ZNF876P,4,206399,249774,pseudogene,"zinc finger protein 876, pseudogene [Source:HGNC Symbol;Acc:32472]",-0.737213183,-1.170173292,-4.235724658,6.32E-05,0.004289135,0.435675128,down
ENSG00000179869,154664,ABCA13,7,48211055,48687092,protein_coding,"ATP-binding cassette, sub-family A (ABC1), member 13 [Source:HGNC Symbol;Acc:14638]",-0.735132346,0.0485366,-3.199957166,0.002005956,0.034544937,-1.560894863,down
ENSG00000125851,5126,PCSK2,20,17206752,17465223,protein_coding,proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:8744],-0.735035074,-1.200312262,-3.141275012,0.002397083,0.038469938,-2.010181875,down
