Supplementary Data 1- Differentially expressed genes in activated T cells,,,,,,,,,,,,
transcript ID,entrez,symbol,chromosome,start,end,biotype,description,log FoldChange (stim-unstim),Average Exprression,t statistics,P.Value,adjusted P.Value
ENSG00000176890,7298,TYMS,18,657604,673578,protein_coding,thymidylate synthetase [Source:HGNC Symbol;Acc:12441],7.123019639,4.847064835,91.57391422,2.26E-85,4.26E-81
ENSG00000134460,3559,IL2RA,10,6052652,6104288,protein_coding,"interleukin 2 receptor, alpha [Source:HGNC Symbol;Acc:6008]",7.441448772,6.254570963,85.31872423,7.50E-83,7.08E-79
ENSG00000146670,113130,CDCA5,11,64833772,64851636,protein_coding,cell division cycle associated 5 [Source:HGNC Symbol;Acc:14626],6.955772344,3.783062187,84.624913,1.47E-82,9.21E-79
ENSG00000171848,6241,RRM2,2,10262455,10271545,protein_coding,ribonucleotide reductase M2 [Source:HGNC Symbol;Acc:10452],7.515757041,5.11172641,77.57201645,1.82E-79,8.59E-76
ENSG00000143476,51514,DTL,1,212208919,212280742,protein_coding,denticleless E3 ubiquitin protein ligase homolog (Drosophila) [Source:HGNC Symbol;Acc:30288],7.62749308,3.608639412,76.74411229,4.38E-79,1.65E-75
ENSG00000122952,11130,ZWINT,10,58116989,58121036,protein_coding,ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:13195],5.026916692,4.450769472,72.31133845,5.66E-77,1.78E-73
ENSG00000104738,4173,MCM4,8,48872745,48890720,protein_coding,minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:6947],4.862068052,6.534956263,72.08676375,7.29E-77,1.97E-73
ENSG00000088325,22974,TPX2,20,30327074,30389608,protein_coding,"TPX2, microtubule-associated [Source:HGNC Symbol;Acc:1249]",7.27047967,4.320212863,70.66344408,3.71E-76,8.75E-73
ENSG00000109805,64151,NCAPG,4,17812525,17846485,protein_coding,"non-SMC condensin I complex, subunit G [Source:HGNC Symbol;Acc:24304]",7.628400275,3.52075222,70.1502364,6.72E-76,1.41E-72
ENSG00000094804,990,CDC6,17,38443885,38459171,protein_coding,cell division cycle 6 [Source:HGNC Symbol;Acc:1744],6.550435357,3.685322985,69.71326459,1.12E-75,2.11E-72
ENSG00000134057,891,CCNB1,5,68462837,68474072,protein_coding,cyclin B1 [Source:HGNC Symbol;Acc:1579],6.442236147,4.24455013,69.1699301,2.12E-75,3.63E-72
ENSG00000166803,9768,KIAA0101,15,64657193,64679886,protein_coding,KIAA0101 [Source:HGNC Symbol;Acc:28961],5.237086473,4.722427026,68.23848884,6.39E-75,1.01E-71
ENSG00000065328,55388,MCM10,10,13203554,13253104,protein_coding,minichromosome maintenance complex component 10 [Source:HGNC Symbol;Acc:18043],6.500818471,3.289434722,68.0093865,8.41E-75,1.22E-71
ENSG00000072274,7037,TFRC,3,195754054,195809060,protein_coding,transferrin receptor [Source:HGNC Symbol;Acc:11763],4.501671132,7.929383142,66.0789954,8.77E-74,1.18E-70
ENSG00000137804,51203,NUSAP1,15,41624892,41673248,protein_coding,nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:18538],6.36078157,4.190934709,65.2606543,2.42E-73,3.04E-70
ENSG00000093009,8318,CDC45,22,19466982,19508135,protein_coding,cell division cycle 45 [Source:HGNC Symbol;Acc:1739],7.074923422,2.782625872,64.9645148,3.50E-73,4.13E-70
